id,img_path,overview,cat1_result,result
TEST_00020,./image/test/TEST_00020.jpg,"라마다호텔&스위트평창은 고루포기산의 능경봉을 등지고 36,000㎡의 대지 주변으로 펼쳐지는 대관령의 아름다운 풍경을 바라보는 산자락에 위치한 호텔이다.모든 객실에서 대관령의 아름다운 풍광을 조망할 수 있는 '라마다 평창 호텔&스위트 평창'은 호텔동 644실과 별장형 빌라동 34실로 총 678실을 갖춘 대형 호텔이다.전 객실이 복층구조의 객실과 테라스로 구성한 것이 특징이다.",숙박,한옥스테이
TEST_00024,./image/test/TEST_00024.jpg,"#본 업소는 외국인관광 도시민박업으로 외국인만 이용이 가능하며 내국인은 이용할 수 없습니다.인천공항과 김포공항 사이에 있다. 홍대, 경복궁, 서울 남산타워 명동, 이태원, 동대문 그리고 강남과 40분 정도의 거리에 있다. 서해의 섬을 여행할 때는 숙소에서 도움을 제공해 줄 수 있다.",숙박,게스트하우스
TEST_00042,./image/test/TEST_00042.jpg,"#본 업소는 외국인관광 도시민박업으로 외국인만 이용이 가능하며 내국인은 이용할 수 없습니다.4호선 명동역에서 걸어서 3분거리에 있다. 남대문시장이 도보 7분거리, 명동 중심가가 도보 5분, 남산타워케이블카 정거장 도보 5분, 버스정거장 도보 5분거리 내에 있다.",숙박,게스트하우스
TEST_00050,./image/test/TEST_00050.jpg,충남에 위치한 칠갑산 샬레 호텔은 칠갑산의 자연 풍광이 한눈에 들어온다.  정문에서 시작되는 가벼운 산행은 천연림 그대로의 맑은 숲속에서 숨 쉬는 피톤치드의 특별한 효과를 맛볼 수 있고 주변 관광지로는 천년고찰의 장곡사를 손꼽을 수 있다. 장곡사는 전국적으로 보기 드문 많은 문화재를 간직하고 있어 여행객들이 많이 찾고 있다.  또한 산을 좋아하는 여행객들에게는 사계절 변화가 뚜렷한 칠갑산이 독특한 묘미를 전해 줄 것이다. 자연의 밥상을 즐겨보고 싶은 여행객이라면 모텔 앞쪽에 있는 여러 곳의 식당을 이용해보는 것도 즐거움을 더 할 것이다.,숙박,모텔
TEST_00054,./image/test/TEST_00054.jpg,"민통선 가까이 있는 휴식공간으로 강화군 송해면 숭뢰리 일대 5,000㎡부지에 객실 7동(독채형)과 사무동, 정자, 잔디밭, 벤치 등으로 이루어져 있다.강화도 최북단지역으로 북한지역을 육안으로 조망할 수 있으며, 민간인 출입통제에 따른 오염되지 않은 자연과 평화로움을 갖추고 있는 힐링 공간이다.",숙박,펜션
TEST_00062,./image/test/TEST_00062.jpg,"아모렉스호텔은 강남과 강북을 잇는 교통요지에 자리 잡고 있으며 서비스와 객실 인테리어로 고객의 몸과 마음을 편안하게 모시는 데 최선을 다하고 있다.지리적으로 편리한 아모렉스호텔은 왕십리역 3번 출구에서 단 5분 거리에 위치하며 동대문, 명동, 시청과는 차량으로 20분 안팎의 거리에 있다. 이 때문에 사업차 방문하는 비즈니스맨이나 쇼핑과 레저를 즐기러온 관광객에게 높은 만족을 제공하고 있다.모든 객실에는 에어컨이 완비되어 있고 냉장고, 전자레인지 및 미니 바도 제공하고 있다. 각 객실에는 주문형 영화 서비스, 평면 TV등의 다양한 엔터테이먼트 시설이 마련되어 있다.",숙박,한옥스테이
TEST_00063,./image/test/TEST_00063.jpg,"잣나무와 전나무 숲으로 둘러싸인 펜션으로 수려한 자연 경관과 편리한 시설, 친절한 서비스가 어우러진 자연 속 휴식처다. 화천군 사내면 광덕계곡에 위치하고 있어 여름철엔 피서지로 가을엔 계곡을 물들이는 단풍을 만끽할 수 있어 각광받고 있다. 객실은 침대와 티테이블을 갖춘 커플룸을 비롯해 3인실, 5인실, 7인실, 9인실을 갖추고 있어 개인뿐만 아니라 단체 여행객에게 더없이 좋은 쉼터다. 내부 편의시설로는 TV, 냉장고, 원룸식 주방시설과 욕실이 있으며, 전망 좋은 테라스, 야외에 바비큐 시설과 파라솔이 마련돼 여유롭게 쉬면서 아름다운 추억을 만들 수 있다. 조식 제공도 가능하다.",숙박,펜션
TEST_00080,./image/test/TEST_00080.jpg,"월악산 유스호스텔은 아름다운 자연을 그저 멀리서 바라보는 것도 충분히 가치 있지만 머무는 여행자들에게 진정으로 필요하고 오랫동안 기억될 수 있는 것은 그 속에 흠뻑 빠져들어 땀 흘리고 온전히 느껴보는 것이다. 따사로운 햇살, 촉촉이 내리는 빗방울, 소복이 쌓이는 눈 속에서 숨겨진 장소들을 발견하고 마음껏 탐험한 후에, 고요하고 차분한 숙소에서 오롯이 쉴 수 있는 공간이다.",숙박,유스호스텔
TEST_00093,./image/test/TEST_00093.jpg,"소양고택의 한옥은 2010년 고창과 무안의 철거 위기에 놓인 180년 된 고택 3채를 이곳으로 이축하면서 한옥 스테이로 거듭났다. 3년간 문화재 장인의 손길로 전통 방식 그대로 복원해 고유의 전통미가 살아있다. 소양고택 한옥스테이의 객실은 모두 8실이 준비돼 있다. 서현당은 황토 온돌방으로, 안쪽에 화장실과 다도를 할 수 있는 작은 공간이 딸려 있다. 가희당은 침대가 놓인 객실로 욕실 내부에 편백 욕조가 있다. 제월당(독채)은 대청마루를 가운데 두고 안방과 건넌방이 마주 보고 있는데, 대청에서 바라보는 앞산 풍경은 이곳의 최고 포인트다. 후연당에는 객실 3개가 나란히 붙어있다. 혜온당에는 2개의 객실이 있다. 하나는 온돌방으로 내부에 거실 개념의 누마루가 이색적이다. 다른 하나는 들창을 열면 야외 누마루까지 경치가 탁 트여 인기가 많다. 누마루 앉으면 소양고택 전경이 한눈에 들어온다. 객실마다 고급 다기 세트와 차가 비치돼 있다. 취사는 할 수 없다. 간단하게 전기포트와 미니 냉장고를 두었다. 직접 바느질해 만든 광목 침구류는 정갈하고 깨끗하다. 웰컴 티와 조식 서비스가 제공된다. 숙소 내 플리커 독립서점, 두베 카페가 있다. 소양고택이 있는 완주 인근 여행지로는 전주한옥마을과 계곡 물놀이를 할 수 있는 고산자연휴양림, 연꽃축제가 열리는 송광사 등이 있다. 소양고택에서 함께 운영하는 오스갤러리와 아원 아트뮤지움은 3분 거리다.",숙박,한옥스테이
TEST_00107,./image/test/TEST_00107.jpg,"강화군 석모도에 위치한 노을내리는아름다운집은 전 객실 바다 전망으로 방 안에서 오롯이 멋진 석양을 감상할 수 있는 펜션이다. 2000년부터 운영을 시작, MBC 예능프로그램 <GOD의 육아일기> 마지막 회를 이곳에서 촬영했다. 모든 객실 내부는 통나무와 원목 가구로 꾸며져 있어 아늑하고 고풍스러운 분위기를 풍긴다. 나무 냄새 가득한 방에서 종일 바다를 바라보거나 방마다 딸린 테라스에서 노을을 감상하는 것만으로 힐링이 된다. 펜션에서 운영하는 ‘까사미아 선셋’ 카페 또한 바다와 해지는 풍경을 바라보기 좋은 장소다. 날씨가 좋은 날에는 카페 야외 데크에 마련해놓은 테이블에 앉아 한가로이 서해 풍경을 즐겨도 좋겠다. 노을내리는아름다운집의 백미는 바다가 보이는 야외 바비큐장과 노을정원이다. 바다 위로 지는 해를 바라보며 고기를 구워 먹는 운치가 그만이다. 넓은 테이블과 벽난로를 갖춘 실내 바비큐장도 마련되어 있어 계절 상관없이 바비큐를 즐길 수 있다. 노을정원은 펜션지기가 모종을 사다 심고 손수 가꾼 야생화정원이다. 계절마다 다양한 야생화가 피고 지며 과실나무도 자란다. 매실, 모과 등 정원에서 딴 열매로 만든 수제청은 카페 음료 메뉴로 내거나 모둠바비큐에 곁들이는 밑반찬에 활용한다. 노을정원에서 바닷가 산책로를 따라가면 금세 바다에 닿는다. 드넓은 갯벌이 펼쳐져 있어 물이 들고 날 때마다 다채로운 풍경을 보여주는 서해의 매력을 가까이서 즐길 수 있다. 도구를 준비해온다면 조개, 게 등을 잡으며 갯벌체험을 할 수 있다. 2017년 1월에 개장한 석모도 미네랄 온천이 도보 10분 거리에 있어 온천여행을 즐기는 여행자들이 많다.",숙박,펜션
